Season,Team,Points,Place,GS,GA,GD,Wins,Losses,Ties
1966,Granada CF,31,14,32,46,-14,8,15,7
1966,Hercules CF,26,15,32,60,-28,6,16,8
1966,Deportivo La Coruna,25,16,25,57,-32,7,19,4
1967,Real Madrid,58,1,55,26,29,16,4,10
1967,UD Las Palmas,55,2,56,41,15,17,9,4
1967,FC Barcelona,54,3,48,29,19,15,6,9
1967,Valencia CF,47,4,52,38,14,13,9,8
1967,Real Zaragoza,46,5,43,34,9,13,10,7
1967,Atletico Madrid,45,6,38,32,6,12,9,9
1967,Athletic Bilbao,43,7,51,28,23,11,9,10
1967,Pontevedra CF,43,8,36,41,-5,12,11,7
1967,Espanyol Barcelona,41,9,48,44,4,12,13,5
1967,Elche CF,38,10,30,39,-9,11,14,5
1967,CE Sabadell,36,11,34,51,-17,10,14,6
1967,Cordoba CF,36,12,35,57,-22,11,16,3
1967,CD Malaga,36,13,29,37,-8,9,12,9
1967,Real Sociedad,33,14,38,43,-5,9,15,6
1967,Real Betis,28,15,30,58,-28,8,18,4
1967,Sevilla FC,26,16,31,56,-25,6,16,8
1968,Real Madrid,65,1,46,21,25,18,1,11
1968,UD Las Palmas,53,2,45,34,11,15,7,8
1968,FC Barcelona,49,3,40,18,22,13,7,10
1968,CE Sabadell,42,4,33,34,-1,10,8,12
1968,Valencia CF,41,5,36,39,-3,10,9,11
1968,Granada CF,40,6,26,38,-12,11,12,7
1968,Atletico Madrid,40,7,40,37,3,10,10,10
1968,Deportivo La Coruna,39,8,39,44,-5,11,13,6
1968,Real Sociedad,39,9,36,33,3,10,11,9
1968,Athletic Bilbao,38,10,42,46,-4,10,12,8
1968,Elche CF,36,11,25,23,2,7,8,15
1968,CD Malaga,34,12,37,42,-5,9,14,7
1968,Pontevedra CF,34,13,20,23,-3,7,10,13
1968,Real Zaragoza,34,14,36,36,0,8,12,10
1968,Espanyol Barcelona,32,15,29,36,-7,8,14,8
1968,Cordoba CF,26,16,31,57,-26,5,14,11
1969,Atletico Madrid,60,1,53,22,31,18,6,6
1969,Athletic Bilbao,58,2,44,20,24,17,6,7
1969,Valencia CF,50,3,35,23,12,15,10,5
1969,Sevilla FC,49,4,39,32,7,14,9,7
1969,Real Madrid,48,5,50,42,8,13,8,9
